firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed,X1,X2,X3,X4,X5,zscore,zscore_zone,in_distress,in_grey,in_safe,log_assets,leverage,liquidity,roa,revenue_growth,zscore_lag1
MAR003,Centrale Danone,Agro-alimentaire & Boissons,Casablanca-Settat,2020,32273292.0,25818633.6,38727950.400000006,537380591.0,70.0,29045962.8,4320.6,10.0,CDM,2000,-0.40000000000000013,2.0,2.1689761304796548e-06,3.442819254729611e-07,0.00013387540384786283,2.3201412395942334,Grey,0,1,0,17.289750573079772,0.9,0.6666666666666666,2.1689761304796548e-06,-0.4738354746392255,2.3202437020864295
MAR005,Dari Couspate,Agro-alimentaire & Boissons,Casablanca-Settat,2019,16258775.5,13007020.4,19510530.6,195644283.16,698.15,14632897.95,630191307.07,10.0,DAR,2004,-0.4000000000000001,2.0,4.293988806229596e-05,6.833916312523727e-07,5.0,7.320142111665584,Safe,0,0,1,16.604143351745112,0.8999999999999999,0.6666666666666666,4.293988806229596e-05,,
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2019,1610081141.84,580746092.6,871119138.9000001,171127880.06,7953481969.0,1449073027.656,1165979450.0,10.0,LHM,2000,-0.180346840140095,0.10628525209880736,2.0,6.9009634498379e-09,0.7241743410940887,7.256557490004882,Safe,0,0,1,21.1995504133312,0.9,0.6666666666666666,1.0,,
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2021,10266659494.89,719789425.95,7566023.95,1039409693.32,30763496.0,9239993545.401,1165979450.0,10.0,LHM,2000,0.06937245774582212,0.10124127461686472,0.0029964465087511517,1.0822518382577527e-09,0.11356950628199369,0.34844251416882077,Distress,1,0,0,23.05216753970791,0.8999999999999999,10.0,0.0029964465087511517,0.0,7.256557490004882
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2022,1235.2,988.1600000000001,1482.2400000000002,1492713561.24,34962696.0,1111.68,1539092874.0,10.0,LHM,2000,-0.40000000000000013,2.0,2.0,0.008995394358088658,5.0,13.925397236614852,Safe,0,0,1,7.118988179270512,0.9,0.6666666666666666,1.0,0.32000000000000006,0.34844251416882077
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2023,5.0,4.0,6.0,1281091945.06,26962978.0,4.5,1539092874.0,10.0,LHM,2000,-0.4,2.0,2.0,2.2222222222222223,5.0,15.253333333333334,Safe,0,0,1,1.6094379124341003,0.9,0.6666666666666666,1.0,0.0,13.925397236614852
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2024,10118732661.32,649727311.2,6520716.15,1155115718.75,29783294.0,9106859395.188,1005714374.85,10.0,LHM,2000,0.06356592436805154,0.11415616534327075,0.002943381844037644,1.09807339347788e-09,0.09939133768149216,0.34520223914790127,Distress,1,0,0,23.037654261868802,0.9,10.0,0.002943381844037644,-0.34655380981901684,15.253333333333334
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2019,61618086425616.0,843481703.19,988060821.84,36243490.0,39112183750256.0,9900132800.21,22505902675360.0,123216372585631.58,CMA,2000,-2.3463746934843996e-06,5.881956435591739e-07,0.634751677942342,10.0,0.36524832205765806,8.459926867091655,Safe,0,0,1,31.75197655417826,0.0001606692673288584,0.8536738675856412,0.634751677942342,,
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2021,57527752548170.336,897987918.8,1163126902.15,244642298.92,132270026871.0,10599209897.91,3624858777.1,10.0,CMA,2000,-4.608888260113907e-06,4.252596148531111e-06,0.002299238558993677,9.434665504616381e-10,6.30106099497761e-05,0.007650921389404647,Distress,1,0,0,31.68328860030401,0.00018424515870031337,0.772046383881329,0.002299238558993677,-0.5,8.459926867091655
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2022,53437418670724.66,1043186926.8,908156626.74,385952755.96,162.793,10848986542.62,3334721186.38,161.116,CMA,2000,2.5268866539389077e-06,7.22251870619345e-06,3.046423349958427e-12,1.485078807749087e-08,6.240423413653597e-05,7.555694483597704e-05,Distress,1,0,0,31.609532340673017,0.00020302227937824303,1.1486861363823515,3.046423349958427e-12,-0.0800410743041744,0.007650921389404647
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2023,49347084793279.0,926478162.66,914912251.34,385952755.96,12471195.0,202541020.65,37583622.0,98693764504516.7,CMA,2000,2.3437881626545836e-07,7.82118655188657e-06,2.5272404747399706e-07,10.0,7.616178778836158e-07,6.000012826522987,Safe,0,0,1,31.529899807991868,4.1044171403127305e-06,1.012641552567539,2.5272404747399706e-07,-0.5,7.555694483597704e-05
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2024,50696864934708.0,951145774.19,1110652322.68,357080780.0,13811245.0,232596377.81,39013758.0,101393264676660.38,CMA,2000,-3.1462803211880446e-06,7.043448948172256e-06,2.724279897344218e-07,10.0,7.695497157515645e-07,6.000007753854224,Safe,0,0,1,31.556885189006447,4.587983460309797e-06,0.8563848062685258,2.724279897344218e-07,0.0380521068459021,6.000012826522987
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2019,35343763931698.0,1049954517.44,1055806870.22,845654313.94,20192018.0,4186369014.4,3622.1,70679155125367.2,SID,2000,-1.655837445980477e-07,2.3926549406968404e-05,5.713035555302253e-07,10.0,1.0248201088598618e-10,6.000035183872891,Safe,0,0,1,31.196143083421997,0.00011844717564575689,0.9944569855102567,5.713035555302253e-07,,
