firm_id,firm_name,ticker,sector,region,year,zscore,in_distress,zscore_lag1,X1,X2,X3,X4,X5,spei12_mean,spei12_min,drought_months,carbon_burden_low,carbon_burden_mid,carbon_burden_high,spei_x_carbon,log_assets,leverage,liquidity,roa,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,sec_Chimie & Parachimie,sec_Distribution & Commerce,sec_Energie & Mines,sec_Immobilier,sec_Industrie (autres),sec_Materiaux de construction,sec_Telecom & Technologies,sec_Transport & Logistique
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2019,3.504180498082549,0,,-0.3999999999999999,2.0,0.1323541448774498,0.0010105144023565,0.7468055113455504,-0.057,-0.884,2,0.027475,0.05495,0.082425,-0.00313215,9.305241377170905,0.9,0.6666666666666667,0.1323541448774498,225.6109625,451.221925,676.8328875,False,False,False,False,False,False,False,False
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2020,0.9177641642404918,1,3.504180498082549,-0.4,0.1749445445723,0.1225651601275474,0.0009627678420136,0.7477991127131569,0.283,-0.132,0,0.027475,0.05495,0.082425,0.015550849999999998,9.353643861749408,0.9,0.6666666666666666,0.1225651601275474,237.11474500000003,474.22949000000006,711.344235,False,False,False,False,False,False,False,False
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2021,-0.0694616120814241,1,0.9177641642404918,-0.4000000000000001,0.0191462983225424,0.1158424720080952,0.0009140960001901,0.0009049550401882,-0.975,-1.804,5,0.0274749999999999,0.0549499999999999,0.082425,-0.0535762499999999,9.4055205676468,0.9000000000000001,0.6666666666666666,0.1158424720080952,0.3022249999999999,0.6044499999999999,0.906675,False,False,False,False,False,False,False,False
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2022,14.476204460759774,0,-0.0694616120814241,-0.4000000000000001,2.0,2.0,0.9270074345996252,5.0,-1.207,-2.073,4,0.0274749999999999,0.0549499999999999,0.082425,-0.06632464999999989,2.483739302035993,0.9000000000000001,0.6666666666666666,1.0,286.6439275,573.2878549999999,859.9317824999999,False,False,False,False,False,False,False,False
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2023,0.872074775795402,1,14.476204460759774,-0.4,0.7112295748510902,0.0955455625907881,0.0007722538460172,0.0405896621466649,-1.624,-2.126,6,0.027475,0.05495,0.082425,-0.08923880000000001,9.574142854555053,0.9,0.6666666666666666,0.0955455625907881,16.0454,32.0908,48.1362,False,False,False,False,False,False,False,False
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2024,2.366021659120396,0,0.872074775795402,-0.4,2.0,0.0052267852887441,0.0008826047431178,0.0282437048216697,-0.368,-1.164,1,0.0274749999999999,0.0549499999999999,0.082425,-0.020221599999999965,9.44057869576626,0.9,0.6666666666666666,0.0052267852887441,9.769011,19.538022,29.307033,False,False,False,False,False,False,False,False
MAR002,Lesieur Cristal,LES,Agro-alimentaire & Boissons,Casablanca-Settat,2019,6.612206537265579,0,,-0.1078128439373782,0.5297003692253687,4.322015698763309e-07,10.0,6.809736114931803e-09,-0.057,-0.884,2,0.0274749999999999,0.0549499999999999,0.082425,-0.0031321499999999946,21.20280773997705,0.0090587430578387,0.8812389088154218,4.322015698763309e-07,0.3022249999999999,0.6044499999999999,0.906675,False,False,False,False,False,False,False,False
MAR002,Lesieur Cristal,LES,Agro-alimentaire & Boissons,Casablanca-Settat,2020,2.3301003101898665,0,6.612206537265579,-0.4000000000000001,2.0,0.0030387826037116,4.548905510589624e-05,4.503416455483728e-05,0.283,-0.132,0,0.0274749999999999,0.0549499999999999,0.082425,0.01555084999999997,12.4059844167185,0.9,0.6666666666666666,0.0030387826037116,0.3022249999999999,0.6044499999999999,0.906675,False,False,False,False,False,False,False,False
MAR002,Lesieur Cristal,LES,Agro-alimentaire & Boissons,Casablanca-Settat,2021,8.92000033552395,0,2.3301003101898665,-0.3999999999999999,2.0,2.0,2.110213523348101e-07,2.08911138811462e-07,-0.975,-1.804,5,0.0274749999999999,0.0549499999999999,0.082425,-0.0535762499999999,17.7792521213426,0.9,0.6666666666666666,1.0,0.3022249999999999,0.6044499999999999,0.906675,False,False,False,False,False,False,False,False
MAR002,Lesieur Cristal,LES,Agro-alimentaire & Boissons,Casablanca-Settat,2022,3.0567099820268737,0,8.92000033552395,-0.4,2.0,0.0045910805335458,1.6484040395228938e-07,0.7215593173619301,-1.207,-2.073,4,0.027475,0.05495,0.082425,-0.06632465,18.026233688558666,0.9,0.6666666666666666,0.0045910805335458,1336298.745075,2672597.49015,4008896.235225,False,False,False,False,False,False,False,False
