variable,coef,se,pvalue,ci_lower,ci_upper
spei12_mean,-1.0323904973469762,1.5937562115934667,0.5183908588436581,-4.188461695220517,2.123680700526564
carbon_burden_mid,-40.53982565235863,9.656313664570796,5.2422107980065746e-05,-59.661955632272,-21.41769567244526
spei_x_carbon,1.0667793979248559,2.44623391082516,0.6635678549444948,-3.777429730833772,5.910988526683484
log_assets,-0.16947124451291853,0.06823427132448893,0.014407928274651649,-0.30459367846396485,-0.03434881056187222
leverage,-2.8382952761749243,1.6270464030917164,0.08368507158133354,-6.060290116444358,0.38369956409450934
liquidity,-0.1709417063384705,0.10239492660347872,0.0976820812407635,-0.3737115379543783,0.03182812527743731
roa,6.455962231056032,0.46427368200768393,0.0,5.536573942523411,7.375350519588652
