firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed,X1,X2,X3,X4,X5,zscore,zscore_zone,in_distress,in_grey,in_safe,log_assets,leverage,liquidity,roa,revenue_growth,zscore_lag1,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,carbon_burden_low,carbon_burden_mid,carbon_burden_high,zscore_carbon_low,zscore_carbon_mid,zscore_carbon_high,distress_carbon_low,distress_carbon_mid,distress_carbon_high,spei12_mean,spei12_min,drought_months,severe_drought_months,drought_year,moderate_drought,severe_drought_year,spei_decile
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2023,52406740.0,41925392.0,62888088.0,515681484.48,46374.0,47166066.0,584.0,10.0,LES,2000,-0.4,2.0,0.0008848861806706,2.1201683430625738e-07,1.1143604811136887e-05,2.322931395211125,Grey,0,1,0,17.774545766973862,0.9,0.6666666666666666,0.0008848861806706,-0.5,3.0567099820268737,16.0454,32.0908,48.1362,0.027475,0.05495,0.082425,2.232263895211125,2.141596395211125,2.0509288952111246,0,0,0,-1.624,-2.126,6,3,1,1,1,1
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2024,53145240.0,42516192.0,63774288.0,469291038.68,25650413.0,47830716.0,23.9,10.0,LES,2000,-0.4,2.0,0.4826474205403908,2.090706733305017e-07,4.497110183339091e-07,3.912737062936712,Safe,0,0,1,17.78853910088656,0.9,0.6666666666666666,0.4826474205403908,-0.5,2.322931395211125,0.6566525,1.313305,1.9699575,0.027475,0.05495,0.082425,3.822069562936712,3.731402062936712,3.640734562936712,0,0,0,-0.368,-1.164,1,1,0,0,0,6
MAR003,Centrale Danone,Agro-alimentaire & Boissons,Casablanca-Settat,2019,32923258.0,26338606.4,39507909.6,537380591.0,-59.0,29630932.2,8211.5,10.0,CDM,2000,-0.3999999999999998,2.0,-1.7920462185121533e-06,3.374851635616108e-07,0.0002494133478527,2.320243702086429,Grey,0,1,0,17.309689896069408,0.9,0.6666666666666667,-1.7920462185121533e-06,,,225.6109625,451.221925,676.8328875,0.027475,0.05495,0.082425,2.229576202086429,2.138908702086429,2.048241202086429,0,0,0,-0.057,-0.884,2,1,0,0,0,7
MAR003,Centrale Danone,Agro-alimentaire & Boissons,Casablanca-Settat,2020,32273292.0,25818633.6,38727950.400000006,537380591.0,70.0,29045962.8,4320.6,10.0,CDM,2000,-0.4000000000000001,2.0,2.1689761304796548e-06,3.442819254729611e-07,0.0001338754038478,2.3201412395942334,Grey,0,1,0,17.289750573079772,0.9,0.6666666666666666,2.1689761304796548e-06,-0.4738354746392255,2.320243702086429,118.708485,237.41697,356.12545500000004,0.027475,0.05495,0.082425,2.229473739594233,2.138806239594233,2.048138739594233,0,0,0,0.283,-0.132,0,0,0,0,0,8
MAR005,Dari Couspate,Agro-alimentaire & Boissons,Casablanca-Settat,2019,16258775.5,13007020.4,19510530.6,195644283.16,698.15,14632897.95,630191307.07,10.0,DAR,2004,-0.4000000000000001,2.0,4.293988806229596e-05,6.833916312523727e-07,5.0,7.320142111665584,Safe,0,0,1,16.604143351745112,0.8999999999999999,0.6666666666666666,4.293988806229596e-05,,,17314506.161748253,34629012.323496506,51943518.48524475,0.027475,0.05495,0.082425,7.229474611665584,7.138807111665584,7.048139611665584,0,0,0,-0.057,-0.884,2,1,0,0,0,7
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2019,1610081141.84,580746092.6,871119138.9000001,171127880.06,7953481969.0,1449073027.656,1165979450.0,10.0,LHM,2000,-0.180346840140095,0.1062852520988073,2.0,6.9009634498379e-09,0.7241743410940887,7.256557490004882,Safe,0,0,1,21.1995504133312,0.9,0.6666666666666666,1.0,,,146855111.72750002,293710223.45500004,440565335.1825,0.12595,0.2519,0.37785,6.840922490004882,6.425287490004882,6.009652490004882,0,0,0,-0.057,-0.884,2,1,0,0,0,7
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2021,10266659494.89,719789425.95,7566023.95,1039409693.32,30763496.0,9239993545.401,1165979450.0,10.0,LHM,2000,0.0693724577458221,0.1012412746168647,0.0029964465087511,1.0822518382577527e-09,0.1135695062819936,0.3484425141688207,Distress,1,0,0,23.05216753970791,0.8999999999999999,10.0,0.0029964465087511,0.0,7.256557490004882,146855111.72750002,293710223.45500004,440565335.1825,0.12595,0.2519,0.37785,-0.0671924858311792,-0.4828274858311792,-0.8984624858311792,1,1,1,-0.975,-1.804,5,0,0,1,0,3
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2022,1235.2,988.16,1482.2400000000002,1492713561.24,34962696.0,1111.68,1539092874.0,10.0,LHM,2000,-0.4000000000000001,2.0,2.0,0.0089953943580886,5.0,13.925397236614852,Safe,0,0,1,7.118988179270512,0.9,0.6666666666666666,1.0,0.32,0.3484425141688207,193848747.4803,387697494.9606,581546242.4409001,0.12595,0.2519,0.3778500000000001,13.509762236614852,13.094127236614852,12.678492236614852,0,0,0,-1.207,-2.073,4,2,1,1,0,2
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2023,5.0,4.0,6.0,1281091945.06,26962978.0,4.5,1539092874.0,10.0,LHM,2000,-0.4,2.0,2.0,2.2222222222222223,5.0,15.253333333333334,Safe,0,0,1,1.6094379124341005,0.9,0.6666666666666666,1.0,0.0,13.925397236614852,193848747.4803,387697494.9606,581546242.4409001,0.12595,0.2519,0.3778500000000001,14.837698333333334,14.422063333333334,14.006428333333334,0,0,0,-1.624,-2.126,6,3,1,1,1,1
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2024,10118732661.32,649727311.2,6520716.15,1155115718.75,29783294.0,9106859395.188,1005714374.85,10.0,LHM,2000,0.0635659243680515,0.1141561653432707,0.0029433818440376,1.0980733934778802e-09,0.0993913376814921,0.3452022391479012,Distress,1,0,0,23.0376542618688,0.9,10.0,0.0029433818440376,-0.3465538098190168,15.253333333333334,126669725.5123575,253339451.024715,380009176.5370725,0.12595,0.2519,0.37785,-0.0704327608520987,-0.4860677608520987,-0.9017027608520988,1,1,1,-0.368,-1.164,1,1,0,0,0,6
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2019,61618086425616.0,843481703.19,988060821.84,36243490.0,39112183750256.0,9900132800.21,22505902675360.0,123216372585631.58,CMA,2000,-2.3463746934844e-06,5.881956435591739e-07,0.634751677942342,10.0,0.365248322057658,8.459926867091655,Safe,0,0,1,31.75197655417826,0.0001606692673288,0.8536738675856412,0.634751677942342,,,2834618441961.5923,5669236883923.185,8503855325884.776,0.12595,0.2519,0.37785,8.044291867091655,7.628656867091655,7.213021867091655,0,0,0,-0.755,-1.228,4,0,0,1,0,4
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2021,57527752548170.336,897987918.8,1163126902.15,244642298.92,132270026871.0,10599209897.91,3624858777.1,10.0,CMA,2000,-4.608888260113907e-06,4.252596148531111e-06,0.0022992385589936,9.434665504616381e-10,6.30106099497761e-05,0.0076509213894046,Distress,1,0,0,31.68328860030401,0.0001842451587003,0.772046383881329,0.0022992385589936,-0.5,8.459926867091655,456550962.975745,913101925.95149,1369652888.9272351,0.12595,0.2519,0.37785,-0.4079840786105954,-0.8236190786105954,-1.2392540786105952,1,1,1,-1.714,-2.031,5,3,1,1,1,1
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2022,53437418670724.66,1043186926.8,908156626.74,385952755.96,162.793,10848986542.62,3334721186.38,161.116,CMA,2000,2.526886653938908e-06,7.22251870619345e-06,3.046423349958427e-12,1.485078807749087e-08,6.240423413653597e-05,7.555694483597704e-05,Distress,1,0,0,31.609532340673017,0.0002030222793782,1.1486861363823515,3.046423349958427e-12,-0.0800410743041744,0.0076509213894046,420008133.424561,840016266.849122,1260024400.273683,0.12595,0.2519,0.37785,-0.415559443055164,-0.831194443055164,-1.246829443055164,1,1,1,-2.421,-2.924,10,4,1,1,1,1
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2023,49347084793279.0,926478162.66,914912251.34,385952755.96,12471195.0,202541020.65,37583622.0,98693764504516.7,CMA,2000,2.343788162654584e-07,7.82118655188657e-06,2.5272404747399706e-07,10.0,7.616178778836158e-07,6.000012826522987,Safe,0,0,1,31.529899807991868,4.1044171403127305e-06,1.012641552567539,2.5272404747399706e-07,-0.5,7.555694483597704e-05,4733657.1909,9467314.3818,14200971.5727,0.12595,0.2519,0.37785,5.584377826522987,5.168742826522987,4.753107826522987,0,0,0,-1.884,-2.385,7,2,1,1,1,1
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2024,50696864934708.0,951145774.19,1110652322.68,357080780.0,13811245.0,232596377.81,39013758.0,101393264676660.38,CMA,2000,-3.1462803211880446e-06,7.043448948172256e-06,2.724279897344218e-07,10.0,7.695497157515645e-07,6.000007753854224,Safe,0,0,1,31.556885189006447,4.587983460309797e-06,0.8563848062685258,2.724279897344218e-07,0.0380521068459021,6.000012826522987,4913782.8201,9827565.6402,14741348.4603,0.12595,0.2519,0.37785,5.584372753854224,5.168737753854224,4.753102753854224,0,0,0,-1.098,-1.811,3,1,1,1,0,3
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2019,35343763931698.0,1049954517.44,1055806870.22,845654313.94,20192018.0,4186369014.4,3622.1,70679155125367.2,SID,2000,-1.655837445980477e-07,2.3926549406968404e-05,5.713035555302253e-07,10.0,1.0248201088598618e-10,6.000035183872891,Safe,0,0,1,31.196143083422,0.0001184471756457,0.9944569855102569,5.713035555302253e-07,,,456.203495,912.40699,1368.610485,0.12595,0.2519,0.3778499999999999,5.584400183872891,5.168765183872891,4.753130183872891,0,0,0,-0.23,-0.916,2,0,0,0,0,6
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2020,8766950846820.0,52.378,78.56700000000001,8407781.0,289.0,365.411,224309.0,3309.178,SID,2000,-2.987241568657755e-12,9.590313835339593e-07,3.2964710884038746e-11,9.05604374252554,2.5585748559473524e-08,5.433627613850208,Safe,0,0,1,29.802010181905843,4.168051200293247e-11,0.6666666666666666,3.2964710884038746e-11,1.0,6.000035183872891,28251.71855,56503.4371,84755.15565,0.12595,0.2519,0.37785,5.017992613850208,4.6023576138502085,4.1867226138502085,0,0,0,0.484,-0.344,2,1,0,0,0,9
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2021,2538.0,2030.4,3045.6000000000004,149677534.84,166.734,2284.2000000000003,1823289.92,10.0,SID,2000,-0.4000000000000001,2.0,0.0656950354609929,0.0043779003589878,5.0,7.539420357236669,Safe,0,0,1,7.839131648274333,0.9000000000000001,0.6666666666666666,0.0656950354609929,1.0,5.433627613850208,229643.365424,459286.730848,688930.096272,0.12595,0.2519,0.37785,7.123785357236669,6.708150357236669,6.292515357236669,0,0,0,-0.682,-1.328,4,0,0,1,0,4
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2022,580.636,408.384,78.214,2245237.09,162.793,424.52,823.289,312.232,SID,2000,0.5686350829090859,2.0,0.2803701458400788,0.7354942052200133,1.4179089825639473,6.266789086459118,Safe,0,0,1,6.364124054490907,0.731129313373611,5.221367018692306,0.2803701458400788,-0.5,7.539420357236669,103.69324955,207.3864991,311.07974865,0.12595,0.2519,0.37785,5.851154086459118,5.435519086459118,5.019884086459118,0,0,0,-1.828,-2.415,5,3,1,1,1,1
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2023,883.177,706.5416,436.536,42.858,116.941,624.512,116.572,517.3300000000002,SID,2000,0.305720823798627,0.0485270789434054,0.1324094717140505,0.8283747950399676,0.1319916619205436,1.500770694680011,Distress,1,0,0,6.783525633517074,0.7071198638551501,1.6185185185185185,0.1324094717140505,-0.5,6.266789086459118,14.6822434,29.3644868,44.046730200000006,0.12595,0.2519,0.37785,1.085135694680011,0.669500694680011,0.2538656946800111,1,1,1,-1.242,-1.997,3,0,1,1,0,2
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2024,53057654883177.0,26.071,39.1065,3042858.26,222327116941.0,811.424,116.572,106115309764731.16,SID,2000,-2.456855665540011e-13,5.73500330291605e-08,0.0041902929451089,10.0,2.1970816512088533e-12,6.013828047010808,Safe,0,0,1,31.60240026620903,1.5293250366730368e-11,0.6666666666666666,0.0041902929451089,0.0,1.500770694680011,14.6822434,29.3644868,44.046730200000006,0.12595,0.2519,0.37785,5.598193047010808,5.182558047010808,4.766923047010808,0,0,0,-0.702,-1.358,1,0,0,1,0,4
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2020,31.0,24.8,37.2,30600000.0,5234489911.5,27.9,849909893.0,10.0,ALM,2000,-0.4000000000000001,2.0,2.0,0.3584229390681003,5.0,14.13505376344086,Safe,0,0,1,3.4339872044851463,0.9,0.6666666666666666,1.0,,,107046151.02335,214092302.0467,321138453.07005,0.12595,0.2519,0.37785,13.71941876344086,13.30378376344086,12.88814876344086,0,0,0,0.283,-0.132,0,0,0,0,0,8
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2021,1235.2,988.16,251.1,31.0,30763496.0,1111.68,848.9,10.0,ALM,2000,0.5967130829015543,0.0250971502590673,2.0,0.0089953943580886,0.6872571243523315,8.043846070811744,Safe,0,0,1,7.118988179270512,0.9,3.935324571883712,1.0,-0.5,14.13505376344086,106.918955,213.83791,320.756865,0.12595,0.2519,0.37785,7.628211070811744,7.212576070811744,6.796941070811744,0,0,0,-0.975,-1.804,5,0,0,1,0,3
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2022,1235.2,988.16,1482.24,31.0,92.9,31.0,908.7,161.116,ALM,2000,-0.4,0.0250971502590673,0.0752104922279792,5.1972903225806455,0.7356703367875648,3.657375165050978,Safe,0,0,1,7.118988179270512,0.0250971502590673,0.6666666666666666,0.0752104922279792,0.0704441041347627,8.043846070811744,114.45076500000002,228.90153000000004,343.352295,0.12595,0.2519,0.37785,3.241740165050978,2.826105165050978,2.410470165050978,0,0,0,-1.207,-2.073,4,2,1,1,0,2
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2023,1235.2,988.16,1482.24,31.0,80.0,1111.68,67722287.7,517.3300000000002,ALM,2000,-0.4,0.0250971502590673,0.0647668393782383,0.4653587363270007,5.0,5.048081822107081,Safe,0,0,1,7.118988179270512,0.9,0.6666666666666666,0.0647668393782383,1.0,3.657375165050978,8529622.135815,17059244.27163,25588866.407445,0.12595,0.2519,0.37785,4.632446822107081,4.216811822107081,3.801176822107081,0,0,0,-1.624,-2.126,6,3,1,1,1,1
