time,lat,lon,spei12
2000-01-16,29.25,-2.25,-0.9803439
2000-01-16,29.25,-1.75,-0.8501315
2000-01-16,29.25,-1.25,-1.0033911
2000-01-16,29.75,-10.25,-0.7030785
2000-01-16,29.75,-9.75,-0.48665664
2000-01-16,29.75,-9.25,-0.66993797
2000-01-16,29.75,-8.75,-0.6595641
2000-01-16,29.75,-8.25,-0.4687467
2000-01-16,29.75,-7.75,-0.39426982
2000-01-16,29.75,-7.25,-0.06941924
2000-01-16,29.75,-6.75,-0.07414271
2000-01-16,29.75,-6.25,0.119244136
2000-01-16,29.75,-5.75,0.11222791
2000-01-16,29.75,-5.25,-0.07977788
2000-01-16,29.75,-4.75,-0.37635377
2000-01-16,29.75,-4.25,-0.48624688
2000-01-16,29.75,-3.75,-0.35538152
2000-01-16,29.75,-3.25,-0.73073006
2000-01-16,29.75,-2.75,-0.71385986
2000-01-16,29.75,-2.25,-0.9055527
2000-01-16,29.75,-1.75,-0.9199674
2000-01-16,29.75,-1.25,-0.84219706
2000-01-16,30.25,-9.75,-0.3655675
2000-01-16,30.25,-9.25,-0.4928521
2000-01-16,30.25,-8.75,-0.5009615
2000-01-16,30.25,-8.25,-0.41246468
2000-01-16,30.25,-7.75,-0.31486186
2000-01-16,30.25,-7.25,-0.14687724
2000-01-16,30.25,-6.75,-0.19733931
2000-01-16,30.25,-6.25,-0.068600684
2000-01-16,30.25,-5.75,-0.022714786
2000-01-16,30.25,-5.25,-0.2565066
2000-01-16,30.25,-4.75,-0.4104919
2000-01-16,30.25,-4.25,-0.49017555
2000-01-16,30.25,-3.75,-0.45429826
2000-01-16,30.25,-3.25,-0.6168326
2000-01-16,30.25,-2.75,-0.8639882
2000-01-16,30.25,-2.25,-0.85348254
2000-01-16,30.25,-1.75,-0.7982903
2000-01-16,30.25,-1.25,-1.0041124
2000-01-16,30.75,-9.75,-0.19266468
2000-01-16,30.75,-9.25,-0.26390004
2000-01-16,30.75,-8.75,-0.30664068
2000-01-16,30.75,-8.25,-0.2377123
2000-01-16,30.75,-7.75,-0.33560964
2000-01-16,30.75,-7.25,-0.2500322
2000-01-16,30.75,-6.75,-0.14067289
2000-01-16,30.75,-6.25,-0.14215043
2000-01-16,30.75,-5.75,-0.35285315
2000-01-16,30.75,-5.25,-0.32554406
2000-01-16,30.75,-4.75,-0.5221823
2000-01-16,30.75,-4.25,-0.61619395
2000-01-16,30.75,-3.75,-0.6203566
2000-01-16,30.75,-3.25,-0.66363996
2000-01-16,30.75,-2.75,-0.74538916
2000-01-16,30.75,-2.25,-0.8146058
2000-01-16,30.75,-1.75,-0.66936326
2000-01-16,30.75,-1.25,-0.8828804
2000-01-16,31.25,-9.75,-0.050480627
2000-01-16,31.25,-9.25,-0.13067417
2000-01-16,31.25,-8.75,-0.29562268
2000-01-16,31.25,-8.25,-0.36427912
2000-01-16,31.25,-7.75,-0.4254246
2000-01-16,31.25,-7.25,-0.35272318
2000-01-16,31.25,-6.75,-0.41306296
2000-01-16,31.25,-6.25,-0.5953267
2000-01-16,31.25,-5.75,-0.70560825
2000-01-16,31.25,-5.25,-0.6517281
2000-01-16,31.25,-4.75,-0.7620487
2000-01-16,31.25,-4.25,-0.6719412
2000-01-16,31.25,-3.75,-0.8097079
2000-01-16,31.25,-3.25,-0.71352166
2000-01-16,31.25,-2.75,-0.7653249
2000-01-16,31.25,-2.25,-0.7360927
2000-01-16,31.25,-1.75,-0.7637466
2000-01-16,31.25,-1.25,-0.9931721
2000-01-16,31.75,-9.75,0.017331278
2000-01-16,31.75,-9.25,-0.14761259
2000-01-16,31.75,-8.75,-0.24264713
2000-01-16,31.75,-8.25,-0.29262632
2000-01-16,31.75,-7.75,-0.35842142
2000-01-16,31.75,-7.25,-0.49858725
2000-01-16,31.75,-6.75,-0.62992954
2000-01-16,31.75,-6.25,-0.8404769
2000-01-16,31.75,-5.75,-0.9868938
2000-01-16,31.75,-5.25,-1.0963115
2000-01-16,31.75,-4.75,-1.0486199
2000-01-16,31.75,-4.25,-0.8858372
2000-01-16,31.75,-3.75,-1.1158047
2000-01-16,31.75,-3.25,-0.9932751
2000-01-16,31.75,-2.75,-0.9058199
2000-01-16,31.75,-2.25,-0.7449874
2000-01-16,31.75,-1.75,-0.8701187
2000-01-16,31.75,-1.25,-0.93296045
2000-01-16,32.25,-9.25,-0.24289428
2000-01-16,32.25,-8.75,-0.26060545
2000-01-16,32.25,-8.25,-0.39679044
2000-01-16,32.25,-7.75,-0.5254552
2000-01-16,32.25,-7.25,-0.5671769
2000-01-16,32.25,-6.75,-0.7669642
2000-01-16,32.25,-6.25,-0.928859
2000-01-16,32.25,-5.75,-1.1799271
2000-01-16,32.25,-5.25,-1.155989
2000-01-16,32.25,-4.75,-1.2923205
2000-01-16,32.25,-4.25,-1.230233
2000-01-16,32.25,-3.75,-1.1478323
2000-01-16,32.25,-3.25,-1.054847
2000-01-16,32.25,-2.75,-0.9847859
2000-01-16,32.25,-2.25,-0.9150205
2000-01-16,32.25,-1.75,-0.9902281
2000-01-16,32.25,-1.25,-1.0495911
2000-01-16,32.75,-16.75,-0.6560461
2000-01-16,32.75,-9.25,-0.22053987
2000-01-16,32.75,-8.75,-0.31257725
2000-01-16,32.75,-8.25,-0.40900195
2000-01-16,32.75,-7.75,-0.44841567
2000-01-16,32.75,-7.25,-0.68352157
2000-01-16,32.75,-6.75,-0.76910055
2000-01-16,32.75,-6.25,-1.042865
2000-01-16,32.75,-5.75,-1.1421564
2000-01-16,32.75,-5.25,-1.2620142
2000-01-16,32.75,-4.75,-1.4131858
2000-01-16,32.75,-4.25,-1.2994138
2000-01-16,32.75,-3.75,-1.2277732
