firm_id,year,sector,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,carbon_burden_low,carbon_burden_mid,carbon_burden_high,zscore,zscore_carbon_low,zscore_carbon_mid,zscore_carbon_high,in_distress,distress_carbon_low,distress_carbon_mid,distress_carbon_high
MAR001,2019,Agro-alimentaire & Boissons,225.6109625,451.221925,676.8328875,0.027475,0.05495,0.082425,3.504180498082549,3.413512998082549,3.322845498082549,3.2321779980825487,0,0,0,0
MAR001,2020,Agro-alimentaire & Boissons,237.11474500000003,474.22949000000006,711.344235,0.027475,0.05495,0.082425,0.9177641642404918,0.8270966642404918,0.7364291642404918,0.6457616642404918,1,1,1,1
MAR001,2021,Agro-alimentaire & Boissons,0.30222499999999997,0.6044499999999999,0.906675,0.027474999999999996,0.05494999999999999,0.082425,-0.0694616120814241,-0.16012911208142408,-0.25079661208142406,-0.3414641120814241,1,1,1,1
MAR001,2022,Agro-alimentaire & Boissons,286.64392749999996,573.2878549999999,859.9317824999999,0.027474999999999996,0.05494999999999999,0.082425,14.476204460759774,14.385536960759774,14.294869460759774,14.204201960759775,0,0,0,0
MAR001,2023,Agro-alimentaire & Boissons,16.0454,32.0908,48.1362,0.027475000000000003,0.054950000000000006,0.082425,0.872074775795402,0.781407275795402,0.690739775795402,0.600072275795402,1,1,1,1
MAR001,2024,Agro-alimentaire & Boissons,9.769010999999999,19.538021999999998,29.307033,0.027474999999999996,0.05494999999999999,0.082425,2.366021659120396,2.275354159120396,2.184686659120396,2.094019159120396,0,0,0,0
MAR002,2019,Agro-alimentaire & Boissons,0.30222499999999997,0.6044499999999999,0.906675,0.027474999999999996,0.05494999999999999,0.082425,6.612206537265579,6.521539037265579,6.430871537265579,6.340204037265579,0,0,0,0
MAR002,2020,Agro-alimentaire & Boissons,0.30222499999999997,0.6044499999999999,0.906675,0.027474999999999996,0.05494999999999999,0.082425,2.3301003101898665,2.2394328101898666,2.1487653101898667,2.0580978101898664,0,0,0,0
MAR002,2021,Agro-alimentaire & Boissons,0.30222499999999997,0.6044499999999999,0.906675,0.027474999999999996,0.05494999999999999,0.082425,8.92000033552395,8.82933283552395,8.73866533552395,8.64799783552395,0,0,0,0
MAR002,2022,Agro-alimentaire & Boissons,1336298.745075,2672597.49015,4008896.235225,0.027475,0.05495,0.082425,3.0567099820268737,2.966042482026874,2.875374982026874,2.7847074820268736,0,0,0,0
MAR002,2023,Agro-alimentaire & Boissons,16.0454,32.0908,48.1362,0.027475000000000003,0.054950000000000006,0.082425,2.322931395211125,2.232263895211125,2.141596395211125,2.0509288952111246,0,0,0,0
MAR002,2024,Agro-alimentaire & Boissons,0.6566525,1.313305,1.9699574999999998,0.027475,0.05495,0.082425,3.912737062936712,3.8220695629367123,3.7314020629367124,3.640734562936712,0,0,0,0
MAR003,2019,Agro-alimentaire & Boissons,225.6109625,451.221925,676.8328875,0.027475,0.05495,0.082425,2.320243702086429,2.229576202086429,2.1389087020864292,2.048241202086429,0,0,0,0
MAR003,2020,Agro-alimentaire & Boissons,118.70848500000001,237.41697000000002,356.12545500000004,0.027475,0.05495,0.082425,2.3201412395942334,2.2294737395942335,2.1388062395942335,2.048138739594233,0,0,0,0
MAR005,2019,Agro-alimentaire & Boissons,17314506.161748253,34629012.323496506,51943518.48524475,0.027475000000000003,0.054950000000000006,0.082425,7.320142111665584,7.229474611665584,7.138807111665584,7.048139611665584,0,0,0,0
MAR009,2019,Ciment & Materiaux de construction,146855111.72750002,293710223.45500004,440565335.1825,0.12595,0.2519,0.37785,7.256557490004882,6.840922490004882,6.425287490004882,6.009652490004882,0,0,0,0
MAR009,2021,Ciment & Materiaux de construction,146855111.72750002,293710223.45500004,440565335.1825,0.12595,0.2519,0.37785,0.3484425141688207,-0.06719248583117926,-0.48282748583117924,-0.8984624858311792,1,1,1,1
MAR009,2022,Ciment & Materiaux de construction,193848747.4803,387697494.9606,581546242.4409001,0.12595,0.2519,0.3778500000000001,13.925397236614852,13.509762236614852,13.094127236614852,12.678492236614852,0,0,0,0
MAR009,2023,Ciment & Materiaux de construction,193848747.4803,387697494.9606,581546242.4409001,0.12595,0.2519,0.3778500000000001,15.253333333333334,14.837698333333334,14.422063333333334,14.006428333333334,0,0,0,0
MAR009,2024,Ciment & Materiaux de construction,126669725.5123575,253339451.024715,380009176.53707254,0.12595,0.2519,0.37785,0.3452022391479012,-0.07043276085209876,-0.48606776085209874,-0.9017027608520987,1,1,1,1
MAR010,2019,Ciment & Materiaux de construction,2834618441961.5923,5669236883923.185,8503855325884.776,0.12595,0.2519,0.37785,8.459926867091655,8.044291867091655,7.628656867091655,7.213021867091655,0,0,0,0
MAR010,2021,Ciment & Materiaux de construction,456550962.975745,913101925.95149,1369652888.9272351,0.12595,0.2519,0.37785,0.0076509213894046,-0.4079840786105954,-0.8236190786105954,-1.2392540786105952,1,1,1,1
MAR010,2022,Ciment & Materiaux de construction,420008133.424561,840016266.849122,1260024400.273683,0.12595,0.2519,0.37785,7.555694483597704e-05,-0.415559443055164,-0.831194443055164,-1.2468294430551639,1,1,1,1
MAR010,2023,Ciment & Materiaux de construction,4733657.1909,9467314.3818,14200971.572700001,0.12595,0.2519,0.37785,6.000012826522987,5.584377826522987,5.168742826522987,4.753107826522987,0,0,0,0
MAR010,2024,Ciment & Materiaux de construction,4913782.8201,9827565.6402,14741348.4603,0.12595,0.2519,0.37785,6.000007753854224,5.584372753854224,5.168737753854224,4.753102753854224,0,0,0,0
MAR011,2019,Ciment & Materiaux de construction,456.20349500000003,912.4069900000001,1368.610485,0.12595,0.2519,0.37784999999999996,6.000035183872891,5.584400183872891,5.168765183872891,4.753130183872891,0,0,0,0
MAR011,2020,Ciment & Materiaux de construction,28251.71855,56503.4371,84755.15565,0.12595,0.2519,0.37785,5.433627613850208,5.0179926138502084,4.6023576138502085,4.1867226138502085,0,0,0,0
MAR011,2021,Ciment & Materiaux de construction,229643.365424,459286.730848,688930.096272,0.12595,0.2519,0.37785,7.539420357236669,7.123785357236669,6.708150357236669,6.292515357236669,0,0,0,0
MAR011,2022,Ciment & Materiaux de construction,103.69324955,207.3864991,311.07974865,0.12595,0.2519,0.37785,6.266789086459118,5.851154086459118,5.435519086459118,5.019884086459118,0,0,0,0
MAR011,2023,Ciment & Materiaux de construction,14.6822434,29.3644868,44.046730200000006,0.12595,0.2519,0.37785,1.500770694680011,1.085135694680011,0.669500694680011,0.2538656946800111,1,1,1,1
MAR011,2024,Ciment & Materiaux de construction,14.6822434,29.3644868,44.046730200000006,0.12595,0.2519,0.37785,6.013828047010808,5.598193047010808,5.182558047010808,4.766923047010808,0,0,0,0
MAR013,2020,Ciment & Materiaux de construction,107046151.02335,214092302.0467,321138453.07005,0.12595,0.2519,0.37785,14.13505376344086,13.71941876344086,13.30378376344086,12.88814876344086,0,0,0,0
MAR013,2021,Ciment & Materiaux de construction,106.918955,213.83791,320.756865,0.12595,0.2519,0.37785,8.043846070811744,7.628211070811744,7.212576070811744,6.796941070811744,0,0,0,0
MAR013,2022,Ciment & Materiaux de construction,114.45076500000002,228.90153000000004,343.352295,0.12595,0.2519,0.37785,3.657375165050978,3.241740165050978,2.826105165050978,2.410470165050978,0,0,0,0
MAR013,2023,Ciment & Materiaux de construction,8529622.135815,17059244.27163,25588866.407445002,0.12595,0.2519,0.37785,5.048081822107081,4.632446822107081,4.216811822107081,3.801176822107081,0,0,0,0
MAR014,2019,Ciment & Materiaux de construction,2020355.319906,4040710.639812,6061065.959718,0.12595,0.2519,0.37785,6.000754216641011,5.585119216641011,5.169484216641011,4.753849216641011,0,0,0,0
MAR014,2020,Ciment & Materiaux de construction,5882860.778333001,11765721.556666002,17648582.334999003,0.12595,0.2519,0.3778500000000001,6.001995202401084,5.586360202401084,5.170725202401084,4.755090202401084,0,0,0,0
MAR015,2019,Energie & Mines,45.685500000000005,91.37100000000001,137.0565,0.22900000000000004,0.4580000000000001,0.6869999999999999,5.94837521987422,5.19267521987422,4.43697521987422,3.68127521987422,0,0,0,0
MAR015,2020,Energie & Mines,1663.582637,3327.165274,4990.747911,0.229,0.458,0.687,6.872752916892357,6.117052916892357,5.361352916892357,4.605652916892357,0,0,0,0
MAR015,2021,Energie & Mines,6564.514,13129.028,19693.542,0.229,0.458,0.687,7.901825235327702,7.146125235327702,6.390425235327702,5.634725235327702,0,0,0,0
MAR015,2022,Energie & Mines,87.0658,174.1316,261.1974,0.229,0.458,0.687,8.927201174939878,8.171501174939877,7.415801174939878,6.660101174939878,0,0,0,0
MAR015,2023,Energie & Mines,84.3178,168.6356,252.95340000000002,0.229,0.458,0.687,2.484458470655388,1.728758470655388,0.973058470655388,0.21735847065538794,0,1,1,1
MAR015,2024,Energie & Mines,2028.8942,4057.7884,6086.6826,0.229,0.458,0.687,14.223030303030304,13.467330303030305,12.711630303030304,11.955930303030303,0,0,0,0
MAR016,2019,Energie & Mines,623140.76917,1246281.53834,1869422.3075100002,0.229,0.458,0.687,19.92,19.1643,18.4086,17.652900000000002,0,0,0,0
