firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2023,1235.2,988.1600000000001,219232769.0,31.0,80.0,1111.68,67722287.7,,ALM,2000
MAR014,Nexans Maroc,Materiaux de construction,Casablanca-Settat,2019,1.6936091899492162e+20,767938792.41,624310889.03,158550000.0,7953481969.0,976710907.45,16040931.48,3.387218379878898e+20,NEX,2000
MAR014,Nexans Maroc,Materiaux de construction,Casablanca-Settat,2020,17533901693609.0,689414720.68,666157600.0,258167033.08,10468979534.0,1006958511.98,46707906.14,35065789470194.04,NEX,2000
MAR015,Managem,Energie & Mines,Casablanca-Settat,2019,12450.3,9960.24,157999380.69,1581.0,885.0,182.8,199.5,26988.500000000004,MNG,2000
MAR015,Managem,Energie & Mines,Casablanca-Settat,2020,13661.8,607.744,855831475.29,1619.0,522.1,146.126,7264.553,29734.4828,MNG,2000
MAR015,Managem,Energie & Mines,Casablanca-Settat,2021,1689372613661803.0,6104700.0,3499574014.22,2019.0,317.4,6466824113.0,28666.0,3716605523042918.5,MNG,2000
MAR015,Managem,Energie & Mines,Casablanca-Settat,2022,19305158.0,15444126.4,4842456558.43,2021.0,19931317.4,64808.8,380.2,42328768.24,MNG,2000
MAR015,Managem,Energie & Mines,Casablanca-Settat,2023,23242.2,18593.760000000002,2105535854.45,609000.0,1044.7,20917.98,368.2,10.0,MNG,2000
MAR015,Managem,Energie & Mines,Casablanca-Settat,2024,22.0,17.6,13222902.27,64.0,1252.3,19.8,8859.8,10.0,MNG,2000
MAR016,SMI,Energie & Mines,Marrakech-Safi,2019,31.0,24.8,69413336.86,4743.0,885.0,27.900000000000002,2721138.73,,SMI,2000
MAR016,SMI,Energie & Mines,Marrakech-Safi,2020,31.0,14.8,50.0,36.0,522.1,27.900000000000002,98162.81,,SMI,2000
MAR016,SMI,Energie & Mines,Marrakech-Safi,2021,31.0,24.8,7.0,13.0,-7912.0,27.900000000000002,98162.81,,SMI,2000
MAR016,SMI,Energie & Mines,Marrakech-Safi,2022,31.0,24.8,92840497.57,2021.0,19931317.4,27.900000000000002,4799545.55,,SMI,2000
MAR016,SMI,Energie & Mines,Marrakech-Safi,2023,31.0,0.0,61.7,98.5,209647865605.35,27.900000000000002,5039037.31,10.0,SMI,2000
MAR016,SMI,Energie & Mines,Marrakech-Safi,2024,11441155.0,9152924.0,257804423.3,120.0,261235.0,10297039.5,5039037.31,10.0,SMI,2000
MAR017,TotalEnergies Marketing MA,Energie & Mines,Casablanca-Settat,2021,28719902763910.0,2316597347.52,3826850936.52,1338227520.84,1310666762931.0,4946875331.43,17543507331.06,63172902954872.86,TMA,2000
MAR017,TotalEnergies Marketing MA,Energie & Mines,Casablanca-Settat,2023,31496192905786.0,4833271464.48,5684689612.61,1701519061.11,419295730166.0,737390238.56,20946422239.51,69290002134204.375,TMA,2000
MAR017,TotalEnergies Marketing MA,Energie & Mines,Casablanca-Settat,2024,31613913149619.0,2957038399.32,4402837051.51,1258505440.82,1340300419295.0,697106199.43,20909935556.16,69549075295523.06,TMA,2000
MAR019,Stroc Industrie,Energie & Mines,Casablanca-Settat,2019,13661.8,10929.44,113706358.775,-103.749,885.0,12295.619999999999,8040.0,,STR,2008
MAR019,Stroc Industrie,Energie & Mines,Casablanca-Settat,2021,13661.8,10929.44,3499574014.22,848.895,317.4,12295.619999999999,82.0,,STR,2008
MAR019,Stroc Industrie,Energie & Mines,Casablanca-Settat,2023,13661.8,10929.44,2105535854.45,711.526,209647865605.35,12295.619999999999,600.0,,STR,2008
MAR020,Label'Vie,Distribution & Commerce,Rabat-Sale-Kenitra,2021,8935924100.0,171327619.0,371294142.0,158080318.0,5405765.4,302060534.0,1.1012407117582428e+22,15540954418.800001,LBV,2008
